,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2019-07-15,6.1,6.27,5.4,5.6,OGI,2530477,HISTORICAL_PRICES,OGI,,1606830572000,-0.21895006402048656,-0.21895006402048656,5.6,6.1,6.27,5.4,2530477,5.6,6.1,6.27,5.4,2530477,"Jul 15, 19",0.2699999999999996,0.0463
2019-07-16,6.61,6.62,6.04,6.15,OGI,1663744,HISTORICAL_PRICES,OGI,,1606830572000,-0.15364916773367468,-0.15364916773367468,6.15,6.61,6.62,6.04,1663744,6.15,6.61,6.62,6.04,1663744,"Jul 16, 19",0.5100000000000007,0.0836
2019-07-17,6.85,6.95,6.5723,6.7,OGI,1587554,HISTORICAL_PRICES,OGI,,1606830572000,-0.12291933418693982,-0.12291933418693982,6.7,6.85,6.95,6.5723,1587554,6.7,6.85,6.95,6.5723,1587554,"Jul 17, 19",0.23999999999999932,0.0363
2019-07-18,6.43,6.78,6.34,6.78,OGI,1343868,HISTORICAL_PRICES,OGI,,1606830572000,-0.176696542893726,-0.176696542893726,6.78,6.43,6.78,6.34,1343868,6.78,6.43,6.78,6.34,1343868,"Jul 18, 19",-0.41999999999999993,-0.0613
2019-07-19,6.33,6.539,6.27,6.49,OGI,740363,HISTORICAL_PRICES,OGI,,1606830572000,-0.1895006402048655,-0.1895006402048655,6.49,6.33,6.539,6.27,740363,6.49,6.33,6.539,6.27,740363,"Jul 19, 19",-0.09999999999999964,-0.0156
2019-07-22,6.27,6.39,6.09,6.39,OGI,932009,HISTORICAL_PRICES,OGI,,1606830572000,-0.1971830985915493,-0.1971830985915493,6.39,6.27,6.39,6.09,932009,6.39,6.27,6.39,6.09,932009,"Jul 22, 19",-0.0600000000000005,-0.0095
2019-07-23,6.07,6.36,6.03,6.27,OGI,1001182,HISTORICAL_PRICES,OGI,,1606830572000,-0.22279129321382835,-0.22279129321382835,6.27,6.07,6.36,6.03,1001182,6.27,6.07,6.36,6.03,1001182,"Jul 23, 19",-0.1999999999999993,-0.0319
2019-07-24,5.94,6.07,5.84,6.04,OGI,1175998,HISTORICAL_PRICES,OGI,,1606830572000,-0.23943661971830976,-0.23943661971830976,6.04,5.94,6.07,5.84,1175998,6.04,5.94,6.07,5.84,1175998,"Jul 24, 19",-0.1299999999999999,-0.0214
2019-07-25,5.83,6.09,5.79,5.94,OGI,809353,HISTORICAL_PRICES,OGI,,1606830572000,-0.2535211267605633,-0.2535211267605633,5.94,5.83,6.09,5.79,809353,5.94,5.83,6.09,5.79,809353,"Jul 25, 19",-0.11000000000000032,-0.0185
2019-07-26,5.9,6,5.8301,5.94,OGI,646553,HISTORICAL_PRICES,OGI,,1606830572000,-0.2445582586427656,-0.2445582586427656,5.94,5.9,6,5.8301,646553,5.94,5.9,6,5.8301,646553,"Jul 26, 19",0.07000000000000028,0.012
2019-07-29,5.93,5.99,5.5747,5.91,OGI,1578874,HISTORICAL_PRICES,OGI,,1606830572000,-0.2407170294494238,-0.2407170294494238,5.91,5.93,5.99,5.5747,1578874,5.91,5.93,5.99,5.5747,1578874,"Jul 29, 19",0.02999999999999936,0.0051
2019-07-30,5.97,6.05,5.76,5.96,OGI,1025063,HISTORICAL_PRICES,OGI,,1606830572000,-0.23559539052496797,-0.23559539052496797,5.96,5.97,6.05,5.76,1025063,5.96,5.97,6.05,5.76,1025063,"Jul 30, 19",0.040000000000000036,0.0067
2019-07-31,5.99,6.06,5.92,6.02,OGI,756849,HISTORICAL_PRICES,OGI,,1606830572000,-0.23303457106274,-0.23303457106274,6.02,5.99,6.06,5.92,756849,6.02,5.99,6.06,5.92,756849,"Jul 31, 19",0.020000000000000462,0.0034
2019-08-01,5.65,6.02,5.63,6,OGI,1077486,HISTORICAL_PRICES,OGI,,1606830572000,-0.2765685019206145,-0.2765685019206145,6,5.65,6.02,5.63,1077486,6,5.65,6.02,5.63,1077486,"Aug 1, 19",-0.33999999999999986,-0.0568
2019-08-02,5.77,5.81,5.64,5.76,OGI,1055557,HISTORICAL_PRICES,OGI,,1606830572000,-0.2612035851472471,-0.2612035851472471,5.76,5.77,5.81,5.64,1055557,5.76,5.77,5.81,5.64,1055557,"Aug 2, 19",0.11999999999999922,0.0212
2019-08-05,5.58,5.77,5.5,5.75,OGI,965544,HISTORICAL_PRICES,OGI,,1606830572000,-0.2855313700384122,-0.2855313700384122,5.75,5.58,5.77,5.5,965544,5.75,5.58,5.77,5.5,965544,"Aug 5, 19",-0.1899999999999995,-0.0329
2019-08-06,5.66,5.83,5.54,5.65,OGI,985441,HISTORICAL_PRICES,OGI,,1606830572000,-0.27528809218950057,-0.27528809218950057,5.65,5.66,5.83,5.54,985441,5.65,5.66,5.83,5.54,985441,"Aug 6, 19",0.08000000000000007,0.0143
2019-08-07,5.57,5.66,5.45,5.65,OGI,781089,HISTORICAL_PRICES,OGI,,1606830572000,-0.28681177976952615,-0.28681177976952615,5.65,5.57,5.66,5.45,781089,5.65,5.57,5.66,5.45,781089,"Aug 7, 19",-0.08999999999999986,-0.0159
2019-08-08,5.68,5.72,5.57,5.64,OGI,589677,HISTORICAL_PRICES,OGI,,1606830572000,-0.2727272727272727,-0.2727272727272727,5.64,5.68,5.72,5.57,589677,5.64,5.68,5.72,5.57,589677,"Aug 8, 19",0.10999999999999943,0.0197
2019-08-09,5.66,5.75,5.52,5.7,OGI,553222,HISTORICAL_PRICES,OGI,,1606830572000,-0.27528809218950057,-0.27528809218950057,5.7,5.66,5.75,5.52,553222,5.7,5.66,5.75,5.52,553222,"Aug 9, 19",-0.019999999999999574,-0.0035
2019-08-12,5.47,5.57,5.45,5.5,OGI,640687,HISTORICAL_PRICES,OGI,,1606830572000,-0.2996158770806658,-0.2996158770806658,5.5,5.47,5.57,5.45,640687,5.5,5.47,5.57,5.45,640687,"Aug 12, 19",-0.1900000000000004,-0.0336
2019-08-13,5.57,5.5959,5.3701,5.5,OGI,915242,HISTORICAL_PRICES,OGI,,1606830572000,-0.28681177976952615,-0.28681177976952615,5.5,5.57,5.5959,5.3701,915242,5.5,5.57,5.5959,5.3701,915242,"Aug 13, 19",0.10000000000000053,0.0183
2019-08-14,5.37,5.5697,5.28,5.44,OGI,908044,HISTORICAL_PRICES,OGI,,1606830572000,-0.31241997439180536,-0.31241997439180536,5.44,5.37,5.5697,5.28,908044,5.44,5.37,5.5697,5.28,908044,"Aug 14, 19",-0.20000000000000018,-0.0359
2019-08-15,5,5.32,4.9,5.28,OGI,1683371,HISTORICAL_PRICES,OGI,,1606830572000,-0.35979513444302175,-0.35979513444302175,5.28,5,5.32,4.9,1683371,5.28,5,5.32,4.9,1683371,"Aug 15, 19",-0.3700000000000001,-0.0689
2019-08-16,5.15,5.24,5,5,OGI,864558,HISTORICAL_PRICES,OGI,,1606830572000,-0.34058898847631236,-0.34058898847631236,5,5.15,5.24,5,864558,5,5.15,5.24,5,864558,"Aug 16, 19",0.15000000000000036,0.03
2019-08-19,5.02,5.2848,5.01,5.17,OGI,833471,HISTORICAL_PRICES,OGI,,1606830572000,-0.3572343149807939,-0.3572343149807939,5.17,5.02,5.2848,5.01,833471,5.17,5.02,5.2848,5.01,833471,"Aug 19, 19",-0.13000000000000078,-0.0252
2019-08-20,5.13,5.22,5.03,5.04,OGI,585330,HISTORICAL_PRICES,OGI,,1606830572000,-0.34314980793854033,-0.34314980793854033,5.04,5.13,5.22,5.03,585330,5.04,5.13,5.22,5.03,585330,"Aug 20, 19",0.11000000000000032,0.0219
2019-08-21,5.09,5.24,5.05,5.18,OGI,633488,HISTORICAL_PRICES,OGI,,1606830572000,-0.34827144686299616,-0.34827144686299616,5.18,5.09,5.24,5.05,633488,5.18,5.09,5.24,5.05,633488,"Aug 21, 19",-0.040000000000000036,-0.0078
2019-08-22,4.94,5.19,4.9,5.09,OGI,681638,HISTORICAL_PRICES,OGI,,1606830572000,-0.36747759282970544,-0.36747759282970544,5.09,4.94,5.19,4.9,681638,5.09,4.94,5.19,4.9,681638,"Aug 22, 19",-0.14999999999999947,-0.0295
2019-08-23,4.65,4.94,4.59,4.92,OGI,1504131,HISTORICAL_PRICES,OGI,,1606830572000,-0.40460947503201017,-0.40460947503201017,4.92,4.65,4.94,4.59,1504131,4.92,4.65,4.94,4.59,1504131,"Aug 23, 19",-0.29000000000000004,-0.0587
2019-08-26,4.49,4.68,4.4199,4.65,OGI,986125,HISTORICAL_PRICES,OGI,,1606830572000,-0.4250960307298335,-0.4250960307298335,4.65,4.49,4.68,4.4199,986125,4.65,4.49,4.68,4.4199,986125,"Aug 26, 19",-0.16000000000000014,-0.0344
2019-08-27,4.13,4.5,4.07,4.49,OGI,1891171,HISTORICAL_PRICES,OGI,,1606830572000,-0.47119078104993595,-0.47119078104993595,4.49,4.13,4.5,4.07,1891171,4.49,4.13,4.5,4.07,1891171,"Aug 27, 19",-0.3600000000000003,-0.0802
2019-08-28,4.26,4.3359,3.97,4.08,OGI,1303829,HISTORICAL_PRICES,OGI,,1606830572000,-0.45454545454545453,-0.45454545454545453,4.08,4.26,4.3359,3.97,1303829,4.08,4.26,4.3359,3.97,1303829,"Aug 28, 19",0.1299999999999999,0.0315
2019-08-29,4.26,4.44,4.24,4.33,OGI,755458,HISTORICAL_PRICES,OGI,,1606830572000,-0.45454545454545453,-0.45454545454545453,4.33,4.26,4.44,4.24,755458,4.33,4.26,4.44,4.24,755458,"Aug 29, 19",0,0
2019-08-30,4.21,4.37,4.16,4.3,OGI,467619,HISTORICAL_PRICES,OGI,,1606830572000,-0.4609475032010243,-0.4609475032010243,4.3,4.21,4.37,4.16,467619,4.3,4.21,4.37,4.16,467619,"Aug 30, 19",-0.04999999999999982,-0.0117
2019-09-03,4.3,4.35,4.11,4.19,OGI,651664,HISTORICAL_PRICES,OGI,,1606830572000,-0.4494238156209987,-0.4494238156209987,4.19,4.3,4.35,4.11,651664,4.19,4.3,4.35,4.11,651664,"Sep 3, 19",0.08999999999999986,0.0214
2019-09-04,4.31,4.48,4.26,4.4,OGI,600295,HISTORICAL_PRICES,OGI,,1606830572000,-0.44814340588988477,-0.44814340588988477,4.4,4.31,4.48,4.26,600295,4.4,4.31,4.48,4.26,600295,"Sep 4, 19",0.009999999999999787,0.0023
2019-09-05,4.77,4.8,4.34,4.36,OGI,1316469,HISTORICAL_PRICES,OGI,,1606830572000,-0.3892445582586428,-0.3892445582586428,4.36,4.77,4.8,4.34,1316469,4.36,4.77,4.8,4.34,1316469,"Sep 5, 19",0.45999999999999996,0.1067
2019-09-06,4.94,5.18,4.63,4.77,OGI,1479538,HISTORICAL_PRICES,OGI,,1606830572000,-0.36747759282970544,-0.36747759282970544,4.77,4.94,5.18,4.63,1479538,4.77,4.94,5.18,4.63,1479538,"Sep 6, 19",0.17000000000000082,0.0356
2019-09-09,4.71,5.14,4.6701,5.07,OGI,1086142,HISTORICAL_PRICES,OGI,,1606830572000,-0.3969270166453265,-0.3969270166453265,5.07,4.71,5.14,4.6701,1086142,5.07,4.71,5.14,4.6701,1086142,"Sep 9, 19",-0.23000000000000043,-0.0466
2019-09-10,4.75,4.82,4.56,4.7,OGI,588972,HISTORICAL_PRICES,OGI,,1606830572000,-0.39180537772087065,-0.39180537772087065,4.7,4.75,4.82,4.56,588972,4.7,4.75,4.82,4.56,588972,"Sep 10, 19",0.040000000000000036,0.0085
2019-09-11,4.73,4.95,4.7,4.77,OGI,637517,HISTORICAL_PRICES,OGI,,1606830572000,-0.3943661971830985,-0.3943661971830985,4.77,4.73,4.95,4.7,637517,4.77,4.73,4.95,4.7,637517,"Sep 11, 19",-0.019999999999999574,-0.0042
2019-09-12,4.54,4.7071,4.53,4.62,OGI,768081,HISTORICAL_PRICES,OGI,,1606830572000,-0.4186939820742637,-0.4186939820742637,4.62,4.54,4.7071,4.53,768081,4.62,4.54,4.7071,4.53,768081,"Sep 12, 19",-0.1900000000000004,-0.0402
2019-09-13,4.5,4.6,4.43,4.56,OGI,726187,HISTORICAL_PRICES,OGI,,1606830572000,-0.42381562099871956,-0.42381562099871956,4.56,4.5,4.6,4.43,726187,4.56,4.5,4.6,4.43,726187,"Sep 13, 19",-0.040000000000000036,-0.0088
2019-09-16,4.34,4.52,4.29,4.45,OGI,793218,HISTORICAL_PRICES,OGI,,1606830572000,-0.44430217669654287,-0.44430217669654287,4.45,4.34,4.52,4.29,793218,4.45,4.34,4.52,4.29,793218,"Sep 16, 19",-0.16000000000000014,-0.0356
