,close,high,low,open,symbol,volume,id,key,subkey,updated,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,label,change,changePercent
2017-07-24,3.42,3.55,3.4,3.5,GNW,3058367,HISTORICAL_PRICES,GNW,,1606830572000,0.23021582733812956,0.23021582733812956,3.5,3.42,3.55,3.4,3058367,3.5,3.42,3.55,3.4,3058367,"Jul 24, 17",-0.08000000000000007,-0.0229
2017-07-25,3.41,3.51,3.4,3.45,GNW,4898878,HISTORICAL_PRICES,GNW,,1606830572000,0.22661870503597137,0.22661870503597137,3.45,3.41,3.51,3.4,4898878,3.45,3.41,3.51,3.4,4898878,"Jul 25, 17",-0.009999999999999787,-0.0029
2017-07-26,3.37,3.42,3.34,3.4,GNW,3631252,HISTORICAL_PRICES,GNW,,1606830572000,0.21223021582733825,0.21223021582733825,3.4,3.37,3.42,3.34,3631252,3.4,3.37,3.42,3.34,3631252,"Jul 26, 17",-0.040000000000000036,-0.0117
2017-07-27,3.4,3.44,3.33,3.39,GNW,2926109,HISTORICAL_PRICES,GNW,,1606830572000,0.223021582733813,0.223021582733813,3.39,3.4,3.44,3.33,2926109,3.39,3.4,3.44,3.33,2926109,"Jul 27, 17",0.029999999999999805,0.0089
2017-07-28,3.39,3.43,3.36,3.39,GNW,1864737,HISTORICAL_PRICES,GNW,,1606830572000,0.2194244604316548,0.2194244604316548,3.39,3.39,3.43,3.36,1864737,3.39,3.39,3.43,3.36,1864737,"Jul 28, 17",-0.009999999999999787,-0.0029
2017-07-31,3.43,3.49,3.38,3.38,GNW,5780253,HISTORICAL_PRICES,GNW,,1606830572000,0.23381294964028793,0.23381294964028793,3.38,3.43,3.49,3.38,5780253,3.38,3.43,3.49,3.38,5780253,"Jul 31, 17",0.040000000000000036,0.0118
2017-08-01,3.39,3.46,3.37,3.46,GNW,5692220,HISTORICAL_PRICES,GNW,,1606830572000,0.2194244604316548,0.2194244604316548,3.46,3.39,3.46,3.37,5692220,3.46,3.39,3.46,3.37,5692220,"Aug 1, 17",-0.040000000000000036,-0.0117
2017-08-02,3.38,3.6,3.29,3.6,GNW,18241934,HISTORICAL_PRICES,GNW,,1606830572000,0.21582733812949645,0.21582733812949645,3.6,3.38,3.6,3.29,18241934,3.6,3.38,3.6,3.29,18241934,"Aug 2, 17",-0.010000000000000231,-0.0029
2017-08-03,3.33,3.42,3.32,3.39,GNW,6600607,HISTORICAL_PRICES,GNW,,1606830572000,0.19784172661870514,0.19784172661870514,3.39,3.33,3.42,3.32,6600607,3.39,3.33,3.42,3.32,6600607,"Aug 3, 17",-0.04999999999999982,-0.0148
2017-08-04,3.42,3.47,3.34,3.34,GNW,6916390,HISTORICAL_PRICES,GNW,,1606830572000,0.23021582733812956,0.23021582733812956,3.34,3.42,3.47,3.34,6916390,3.34,3.42,3.47,3.34,6916390,"Aug 4, 17",0.08999999999999986,0.027
2017-08-07,3.57,3.65,3.42,3.43,GNW,7891439,HISTORICAL_PRICES,GNW,,1606830572000,0.2841726618705036,0.2841726618705036,3.43,3.57,3.65,3.42,7891439,3.43,3.57,3.65,3.42,7891439,"Aug 7, 17",0.1499999999999999,0.0439
2017-08-08,3.72,3.74,3.515,3.55,GNW,5215652,HISTORICAL_PRICES,GNW,,1606830572000,0.33812949640287787,0.33812949640287787,3.55,3.72,3.74,3.515,5215652,3.55,3.72,3.74,3.515,5215652,"Aug 8, 17",0.15000000000000036,0.042
2017-08-09,3.62,3.72,3.55,3.68,GNW,3018684,HISTORICAL_PRICES,GNW,,1606830572000,0.3021582733812951,0.3021582733812951,3.68,3.62,3.72,3.55,3018684,3.68,3.62,3.72,3.55,3018684,"Aug 9, 17",-0.10000000000000009,-0.0269
2017-08-10,3.49,3.59,3.49,3.59,GNW,3548520,HISTORICAL_PRICES,GNW,,1606830572000,0.2553956834532376,0.2553956834532376,3.59,3.49,3.59,3.49,3548520,3.59,3.49,3.59,3.49,3548520,"Aug 10, 17",-0.1299999999999999,-0.0359
2017-08-11,3.48,3.535,3.43,3.49,GNW,2488703,HISTORICAL_PRICES,GNW,,1606830572000,0.25179856115107924,0.25179856115107924,3.49,3.48,3.535,3.43,2488703,3.49,3.48,3.535,3.43,2488703,"Aug 11, 17",-0.010000000000000231,-0.0029
2017-08-14,3.47,3.51,3.44,3.49,GNW,3574313,HISTORICAL_PRICES,GNW,,1606830572000,0.248201438848921,0.248201438848921,3.49,3.47,3.51,3.44,3574313,3.49,3.47,3.51,3.44,3574313,"Aug 14, 17",-0.009999999999999787,-0.0029
2017-08-15,3.48,3.57,3.47,3.51,GNW,2892363,HISTORICAL_PRICES,GNW,,1606830572000,0.25179856115107924,0.25179856115107924,3.51,3.48,3.57,3.47,2892363,3.51,3.48,3.57,3.47,2892363,"Aug 15, 17",0.009999999999999787,0.0029
2017-08-16,3.5,3.54,3.46,3.48,GNW,2394440,HISTORICAL_PRICES,GNW,,1606830572000,0.2589928057553958,0.2589928057553958,3.48,3.5,3.54,3.46,2394440,3.48,3.5,3.54,3.46,2394440,"Aug 16, 17",0.020000000000000018,0.0057
2017-08-17,3.42,3.51,3.42,3.48,GNW,2132726,HISTORICAL_PRICES,GNW,,1606830572000,0.23021582733812956,0.23021582733812956,3.48,3.42,3.51,3.42,2132726,3.48,3.42,3.51,3.42,2132726,"Aug 17, 17",-0.08000000000000007,-0.0229
2017-08-18,3.45,3.47,3.38,3.4,GNW,2065090,HISTORICAL_PRICES,GNW,,1606830572000,0.24100719424460446,0.24100719424460446,3.4,3.45,3.47,3.38,2065090,3.4,3.45,3.47,3.38,2065090,"Aug 18, 17",0.03000000000000025,0.0088
2017-08-21,3.35,3.44,3.35,3.44,GNW,2336255,HISTORICAL_PRICES,GNW,,1606830572000,0.2050359712230217,0.2050359712230217,3.44,3.35,3.44,3.35,2336255,3.44,3.35,3.44,3.35,2336255,"Aug 21, 17",-0.10000000000000009,-0.029
2017-08-22,3.35,3.39,3.33,3.39,GNW,1872911,HISTORICAL_PRICES,GNW,,1606830572000,0.2050359712230217,0.2050359712230217,3.39,3.35,3.39,3.33,1872911,3.39,3.35,3.39,3.33,1872911,"Aug 22, 17",0,0
